lat,lon,site,spp
-46.96174,37.857,Funk,King penguin
-46.96729582,37.85,Kildalkey,King penguin
-46.9,37.89629328,Archway,King penguin
-46.96555871,37.70051814,Goodhope,King penguin
-46.927,37.88163344,Bullard south,King penguin
-46.96550329,37.85334007,Kildalkey,Macaroni penguin
-46.92219756,37.87923031,Bullard north,Macaroni penguin
-46.92562559,37.88212038,Bullard south,Macaroni penguin
-46.92659263,37.59106,Swartkops,Macaroni penguin
-46.96471213,37.6979966,Goodhope,Macaroni penguin
-46.96,37.85860955,Funk,Macaroni penguin
-46.96516813,37.68811648,Rooks Peninsula,Macaroni penguin
-46.96725857,37.85161134,Kildalkey,Elephant seals
-46.9616523,37.85879288,Funk,Elephant seals
-46.94841238,37.87029175,Sealers Cave,Elephant seals
-46.94316885,37.87441336,Landfall,Elephant seals
-46.92347888,37.88299747,Bullard North,Elephant seals
-46.89838227,37.89626485,Archway,Elephant seals
-46.93451712,37.87749943,Killerwhale Cove,Elephant seals
-46.96551966,37.6989834,Goodhope,Elephant seals
