lat,lon,site,spp,foraging
-46.89925,37.89636,Archway Bay,"king p., ses ",yes
-46.9121,37.89437,Hansen river,"gentoo p., ses",yes
-46.92347888,37.88299747,Bullard North,"macaroni p., ses",yes
-46.927,37.88163344,Bullard South,"king p, macaroni p.",yes
-46.9625,37.85851,Funk Bay,"king p., ses ",yes
-46.96551966,37.6989834,Goodhope,"macaroni p., ses",yes
-46.96725,37.85235,Kildalkey Bay,"king p, macaroni p., ses",yes
-46.92659263,37.59106,Swartkop,macaroni p.,yes
-46.96516813,37.68811648,Rooks peninsula,macaroni p.,yes
-46.93473,37.87762,Killerwhale cove,ses,yes
-46.94435,37.87329,Landfall Beach,"gentoo p., ses",no
-46.94843,37.87046,Sealers cave,ses,yes
-46.95628,37.86607,Whale Bird Point,resting site,no
-46.9592,37.86077,Kildalkey hut river,resting site,no
-46.96969,37.84838,Green Hill,resting site,no
