"","sp_code","deployment_site","individual_id","date","deployment_decimal_latitude","deployment_decimal_longitude","Culmen_length","Culmen_depth"
"606","NGP","Kildalkey","NGP01_KD_SEP_2015","2015/09/15",-46.95285,37.85796,100.1,40.4
"1636","NGP","Soft Plume River","NGP02_092017","2017/09/26",-46.93776,37.86327,106.1,36.8
"2319","NGP","Dragon back Kildalkey","NGP03_26092016","2016/09/26",-46.9519,37.85644,102.4,40
"2655","NGP","Kildalkey","NGP03_KD_SEP_2015","2015/09/15",-46.952065,37.858212,102.9,39.3
"3559","NGP","Kildalkey","NGP04_KD_SEP_2015","2015/09/15",-46.942581,37.871731,99.3,38.2
"3831","NGP","Soft Plume River","NGP05_092017","2017/09/26",-46.939025,37.865838,99.9,36.3
"4221","NGP","Dragon back Kildalkey","NGP05_26102016","2016/09/26",-46.951685,37.856435,108.1,36.2
"4558","NGP","Kildalkey","NGP05_KD_SEP_2015","2015/09/15",-46.94191,37.8714,103.9,40.8
"6541","NGP","Dragon back Kildalkey","NGP07_26102016","2016/09/26",-46.951682,37.856788,107.6,38.5
"7265","NGP","Dragon back Kildalkey","NGP08_26102016","2016/09/26",-46.951713,37.85684,109.7,38
"8854","NGP","Kildalkey","NGP09_KD_SEP_2015","2015/09/15",-46.94056,37.8687,102.5,41.1
"10128","NGP","Dragon back Kildalkey","NGP11_26102016","2016/09/26",-46.95397,37.86292,113.9,38.7
"10536","NGP","Kildalkey","NGP11_KD_SEP_2015","2015/10/01",-46.953267,37.85795,107.7,45
"13636","NGP","Kildalkey","NGP14_KD_SEP_2015","2015/10/01",-46.949483,37.861033,110,42.4
"14737","NGP","Kildalkey","NGP15_KD_SEP_2015","2015/10/01",-46.94952,37.86108,105.4,39.2
"17957","NGP","Kildalkey","NGP19_KD_SEP_2015","2015/10/01",-46.95488,37.8642,NA,NA
"19310","NGP","Kildalkey","NGP20_KD_SEP_2015","2015/10/01",-46.95499,37.86411,104.2,39.3
"20408","NGP","Green Hill","NGP22_102017","2017/10/17",-46.972752,37.846806,107,36.5
"20662","NGP","Green Hill","NGP23_102017","2017/10/17",-46.972351,37.846825,102.8,36.1
"21800","SGP","Kildalkey","SGP01_KD_SEP_2015","2015/09/24",-46.960564,37.854816,NA,NA
"22111","SGP","Funk Bay","SGP02_102017","2017/10/02",-46.96035,37.85571,102.9,37.6
"22603","SGP","Kildalkey","SGP02_KD_SEP_2015","2015/09/24",-46.960579,37.854523,110.3,40.4
"22967","SGP","Kildalkey","SGP03_KD_SEP_2015","2015/09/24",-46.96048,37.85468,103.4,39.5
"25459","SGP","Funk Bay","SGP06_102017","2017/10/03",-46.96059,37.855498,103.7,36.2
"25747","SGP","Kildalkey","SGP06_KD_SEP_2015","2015/09/24",-46.96381,37.85197,105,41.1
"28245","SGP","Kildalkey","SGP08_KD_SEP_2015","2015/09/24",-46.96365,37.851894,105.3,36.5
"28642","SGP","Funk Bay","SGP09_102017","2017/10/03",-46.960527,37.855375,NA,NA
"29116","SGP","Kildalkey","SGP09_KD_SEP_2015","2015/09/24",-46.9636,37.85158,106.4,43.2
"30034","SGP","Kildalkey","SGP10_KD_SEP_2015","2015/09/25",-46.96364,37.85145,103.7,38.4
"32674","SGP","Funk Bay","SGP12_102017","2017/10/03",-46.96078,37.85553,98.2,36.4
"32954","SGP","Kildalkey","SGP12_KD_SEP_2015","2015/10/03",-46.961094,37.857246,106.6,41.7
"33710","SGP","Funk Bay","SGP13_102017","2017/10/03",-46.960703,37.855658,NA,NA
"36939","SGP","Funk River colony","SGP17_03102016","2016/10/03",-46.960522,37.854797,117.9,42.1
"37654","SGP","Kildalkey","SGP17_KD_SEP_2015","2015/10/03",-46.963512,37.851902,101.3,40.7
"38060","SGP","Funk River colony","SGP18_03102016","2016/10/03",-46.96057,37.85487,107.2,36.8
"39450","SGP","Kildalkey","SGP19_KD_SEP_2015","2015/10/03",-46.963577,37.852016,105.5,40
