"","site","Northern giant petrel","Southern giant petrel","site","Northern giant petrel","Southern giant petrel"
"1","Archway Bay",0,0,"Archway Bay",0,0
"2","Hansen river",13.8342231800159,0,"Hansen river",7,0
"3","Bullard North",21.0078751289182,1.40663980133004,"Bullard North",11,3
"4","Bullard South",107.445209551851,32.9570211780734,"Bullard South",42,11
"5","Funk Bay",23.8433728171719,27.9616957529386,"Funk Bay",20,10
"6","Goodhope",0.0237278334299723,0,"Goodhope",1,0
"7","Kildalkey Bay",191.09686731206,110.22163230141,"Kildalkey Bay",92,61
"8","Swartkop",13.6209107492367,0,"Swartkop",8,0
"9","Rooks peninsula",0.0429836044708888,0,"Rooks peninsula",1,0
"10","Killerwhale cove",24.4244553611014,2.14761809362306,"Killerwhale cove",11,1
"11","Landfall Beach",105.456731028292,0.317530395521058,"Landfall Beach",40,2
"12","Sealers cave",51.8767582672172,0.142488983869553,"Sealers cave",28,1
"13","Whale Bird Point",121.223465102977,15.2277521832784,"Whale Bird Point",31,7
"14","Kildalkey hut river",51.1505444029305,76.6252086277803,"Kildalkey hut river",29,20
"15","Green Hill",39.1117603856325,67.7285829776526,"Green Hill",12,22
